budget_id,budget_month,country,product_category,currency_code,budget_revenue,budget_units,forecast_revenue,forecast_units,approved_at,updated_at,is_deleted
BUD-2026-09-NL-ELEC,2026-09-01,NL,ELECTRONICS,EUR,85000.00,210,82300.00,202,2026-08-20T09:00:00Z,2026-09-01T07:00:00Z,false
BUD-2026-09-NL-ACC,2026-09-01,NL,ACCESSORIES,EUR,18000.00,720,19250.00,760,2026-08-20T09:00:00Z,2026-09-01T07:00:00Z,false
BUD-2026-09-GB-ELEC,2026-09-01,GB,ELECTRONICS,GBP,64000.00,155,61800.00,148,2026-08-20T09:00:00Z,2026-09-01T07:00:00Z,false
BUD-2026-09-US-ELEC,2026-09-01,US,ELECTRONICS,USD,72000.00,190,74600.00,196,2026-08-20T09:00:00Z,2026-09-01T07:00:00Z,false
BUD-2026-10-NL-ELEC,2026-10-01,NL,ELECTRONICS,EUR,91000.00,225,89500.00,220,2026-09-03T10:00:00Z,2026-09-04T07:30:00Z,false
BUD-2026-10-NL-ACC,2026-10-01,NL,ACCESSORIES,EUR,20500.00,800,20100.00,790,2026-09-03T10:00:00Z,2026-09-04T07:30:00Z,false
BUD-2026-10-GB-ELEC,2026-10-01,GB,ELECTRONICS,GBP,68500.00,165,67200.00,161,2026-09-03T10:00:00Z,2026-09-04T07:30:00Z,false
BUD-2026-10-US-ELEC,2026-10-01,US,ELECTRONICS,USD,75500.00,198,76800.00,202,2026-09-03T10:00:00Z,2026-09-04T07:30:00Z,false
BUD-2026-11-NL-ELEC,2026-11-01,NL,ELECTRONICS,EUR,98000.00,240,96500.00,235,2026-09-03T10:00:00Z,2026-09-04T07:30:00Z,false
BUD-2026-11-NL-ACC,2026-11-01,NL,ACCESSORIES,EUR,23000.00,900,22100.00,875,2026-09-03T10:00:00Z,2026-09-04T07:30:00Z,false
BUD-2026-11-GB-ELEC,2026-11-01,GB,ELECTRONICS,GBP,72000.00,174,70800.00,170,2026-09-03T10:00:00Z,2026-09-04T07:30:00Z,false
BUD-2026-11-US-ELEC,2026-11-01,US,ELECTRONICS,USD,81000.00,212,82500.00,216,2026-09-03T10:00:00Z,2026-09-04T07:30:00Z,false
