agreement_id,customer_segment,product_key,currency_code,list_price,discount_pct,valid_from,valid_to,agreement_status,updated_at,is_deleted
AGR-001,RETAIL,P-2001,EUR,1200.00,10.00,2026-01-01,2026-06-30,EXPIRED,2026-06-30T18:00:00Z,false
AGR-002,RETAIL,P-2001,EUR,1200.00,12.50,2026-07-01,2026-12-31,ACTIVE,2026-07-01T08:15:00Z,false
AGR-003,WHOLESALE,P-2001,EUR,1200.00,18.00,2026-01-01,2026-12-31,ACTIVE,2026-01-01T08:00:00Z,false
AGR-004,RETAIL,P-2002,EUR,35.00,5.00,2026-01-01,2026-12-31,ACTIVE,2026-01-01T08:00:00Z,false
AGR-005,WHOLESALE,P-2002,EUR,35.00,15.00,2026-01-01,2026-12-31,ACTIVE,2026-01-01T08:00:00Z,false
AGR-006,RETAIL,P-2003,USD,89.00,7.50,2026-01-01,2026-09-30,ACTIVE,2026-01-01T08:00:00Z,false
AGR-007,RETAIL,P-2003,USD,89.00,10.00,2026-10-01,2026-12-31,PENDING,2026-09-04T08:30:00Z,false
AGR-008,WHOLESALE,P-2004,GBP,24.50,12.00,2026-01-01,2026-12-31,ACTIVE,2026-01-01T08:00:00Z,false
AGR-009,RETAIL,P-2005,EUR,540.00,8.00,2026-01-01,2026-12-31,ACTIVE,2026-01-01T08:00:00Z,false
AGR-010,RETAIL,P-2006,USD,75.00,0.00,2026-01-01,2026-12-31,ACTIVE,2026-01-01T08:00:00Z,false
AGR-011,WHOLESALE,P-2007,EUR,12.00,20.00,2026-01-01,2026-12-31,ACTIVE,2026-01-01T08:00:00Z,false
AGR-012,RETAIL,P-2008,EUR,249.00,5.00,2026-01-01,2026-08-31,CANCELLED,2026-08-31T17:00:00Z,true
